burst,t_s,T_bmp_C,P_hPa,T_mcp_C,phase,n_samples
0,0,30.2718,894.23,28.9756,warming,600
1,120,28.9482,894.19,28.0095,warming,600
2,240,30.8895,894.20,29.7123,warming,601
3,360,37.7430,894.24,35.3188,warming,601
4,480,44.6865,894.25,41.9116,warming,600
5,600,50.1823,894.28,47.5716,warming,600
6,720,54.2441,894.26,51.8128,warming,600
7,840,56.3032,894.26,54.3986,cooling,600
8,960,53.6748,894.26,52.9281,cooling,601
9,1080,49.7455,894.26,49.2025,cooling,600
10,1200,46.0440,894.24,45.3042,cooling,600
11,1320,42.9916,894.24,41.9476,cooling,600
12,1440,40.4800,894.23,39.2125,cooling,601
13,1560,38.3477,894.23,37.0139,cooling,600
14,1680,36.5364,894.22,35.2260,cooling,600
15,1800,35.0381,894.22,33.7592,cooling,600
16,1920,33.8636,894.21,32.5856,cooling,600
17,2040,32.5160,894.24,31.2297,cooling,1147
18,2160,31.5263,894.24,30.2438,cooling,600
19,2280,31.0320,894.24,29.7590,cooling,600
20,2400,30.6066,894.25,29.3550,cooling,505
21,2520,30.2384,894.22,28.9927,cooling,600
22,2640,29.9603,894.20,28.7092,cooling,600
23,2760,29.7040,894.20,28.4547,cooling,600
24,2880,29.4801,894.18,28.2277,cooling,600
25,3000,29.3327,894.17,28.0416,cooling,600
26,3120,29.2128,894.17,27.9169,cooling,600
27,3240,29.1153,894.16,27.8079,cooling,600
28,3360,28.9831,894.12,27.7028,cooling,600
29,3480,28.8328,894.12,27.5956,cooling,600
30,3600,28.6996,894.13,27.5050,cooling,600
31,3720,28.5902,894.08,27.4144,cooling,601
32,3840,28.5103,894.04,27.3510,cooling,600
33,3960,28.4632,894.00,27.2839,cooling,600
