Cooling Analysis: exp02_no-reg-atm_2026-06-26_run1
============================================================
Cycle          : 120 s  (awake 60 s + sleep 60 s)
Total separators : 34
Non-empty bursts : 34
Peak burst     : 7  (T_bmp = 56.30 C)
Warming bursts : 0 to 6
Cooling bursts : 7 to 33  (27 total)
Meaningful (excess > 0.1 C) : 25

T_amb_bmp = 28.463 C  (min observed)
T_amb_mcp = 27.284 C  (min observed)

MCP9808 : A = 29.57 C,  tau = 645 s  (+-19 s)
BMP388  : A = 29.51 C,  tau = 645 s  (+-13 s)

R = tau_mcp / tau_bmp = 645 / 645 = 0.999

 burst    t(s)     T_bmp    P(hPa)     T_mcp         phase      n
     0       0    30.272    894.23    28.976       warming    600
     1     120    28.948    894.19    28.009       warming    600
     2     240    30.890    894.20    29.712       warming    601
     3     360    37.743    894.24    35.319       warming    601
     4     480    44.686    894.25    41.912       warming    600
     5     600    50.182    894.28    47.572       warming    600
     6     720    54.244    894.26    51.813       warming    600
     7     840    56.303    894.26    54.399       cooling    600
     8     960    53.675    894.26    52.928       cooling    601
     9    1080    49.746    894.26    49.203       cooling    600
    10    1200    46.044    894.24    45.304       cooling    600
    11    1320    42.992    894.24    41.948       cooling    600
    12    1440    40.480    894.23    39.213       cooling    601
    13    1560    38.348    894.23    37.014       cooling    600
    14    1680    36.536    894.22    35.226       cooling    600
    15    1800    35.038    894.22    33.759       cooling    600
    16    1920    33.864    894.21    32.586       cooling    600
    17    2040    32.516    894.24    31.230       cooling   1147
    18    2160    31.526    894.24    30.244       cooling    600
    19    2280    31.032    894.24    29.759       cooling    600
    20    2400    30.607    894.25    29.355       cooling    505
    21    2520    30.238    894.22    28.993       cooling    600
    22    2640    29.960    894.20    28.709       cooling    600
    23    2760    29.704    894.20    28.455       cooling    600
    24    2880    29.480    894.18    28.228       cooling    600
    25    3000    29.333    894.17    28.042       cooling    600
    26    3120    29.213    894.17    27.917       cooling    600
    27    3240    29.115    894.16    27.808       cooling    600
    28    3360    28.983    894.12    27.703       cooling    600
    29    3480    28.833    894.12    27.596       cooling    600
    30    3600    28.700    894.13    27.505       cooling    600
    31    3720    28.590    894.08    27.414       cooling    601
    32    3840    28.510    894.04    27.351       cooling    600
    33    3960    28.463    894.00    27.284       cooling    600
