burst,t_s,T_bmp_C,T_mcp_C,phase,n_samples
0,0,26.6488,26.0498,warming,679
1,120,28.0101,26.8977,warming,679
2,240,34.0404,30.3451,warming,678
3,360,40.4983,35.2866,warming,679
4,480,45.4058,39.9545,warming,678
5,600,49.6201,44.3643,warming,675
6,720,52.5709,47.6548,warming,679
7,840,54.7645,50.1892,warming,677
8,960,56.2778,51.9397,warming,676
9,1080,57.4137,53.4174,warming,677
10,1200,58.2715,54.4861,cooling,680
11,1320,57.1588,54.5492,cooling,676
12,1440,54.1443,52.7838,cooling,677
13,1560,51.1863,50.2599,cooling,676
14,1680,48.6438,47.7382,cooling,677
15,1800,46.3963,45.2397,cooling,675
16,1920,44.4833,43.3171,cooling,675
17,2040,42.8238,41.5297,cooling,673
18,2160,41.3915,39.8854,cooling,679
19,2280,40.1419,38.6872,cooling,675
20,2400,39.0058,37.3890,cooling,678
21,2520,38.1477,36.5848,cooling,671
22,2640,37.3789,35.7660,cooling,680
23,2760,36.7206,35.0646,cooling,679
24,2880,36.1701,34.4600,cooling,679
25,3000,35.6973,33.9075,cooling,677
26,3120,35.2890,33.5210,cooling,677
27,3240,34.9441,33.1547,cooling,679
28,3360,34.6269,32.7765,cooling,677
29,3480,34.3537,32.5404,cooling,674
30,3600,34.0393,32.2197,cooling,678
31,3720,33.6479,31.9141,cooling,675
32,3840,33.4386,31.7443,cooling,678
33,3960,32.9626,31.2965,cooling,678
34,4080,32.8678,31.2304,cooling,680
35,4200,32.5972,30.9873,cooling,675
36,4320,32.3542,30.7605,cooling,676
37,4440,32.0856,30.4913,cooling,676
38,4560,31.8358,30.2410,cooling,677
39,4680,31.6883,30.0779,cooling,678
40,4800,31.6387,29.7353,cooling,564
41,4920,31.5197,29.4322,cooling,208
