burst,t_s,T_bmp_C,T_mcp_C,phase,n_samples
0,0,27.5705,26.3775,warming,678
1,120,27.5638,26.9675,warming,680
2,240,28.3691,27.0772,warming,680
3,360,29.5340,27.5776,warming,678
4,480,35.7527,30.4911,warming,679
5,600,42.7728,35.7153,warming,679
6,720,48.3747,41.2641,warming,679
7,840,52.5795,46.0079,warming,679
8,960,55.6703,49.7611,cooling,675
9,1080,55.0905,51.2070,cooling,676
10,1200,52.5576,50.1754,cooling,680
11,1320,49.9442,48.4434,cooling,679
12,1440,46.6232,45.3548,cooling,1354
13,1560,43.5945,42.2731,cooling,678
14,1680,41.7122,40.5655,cooling,677
15,1800,40.1120,38.8783,cooling,674
16,1920,38.9585,37.6136,cooling,674
17,2040,37.8834,36.3157,cooling,678
18,2160,37.1222,35.3127,cooling,679
19,2280,36.4893,34.4947,cooling,675
20,2400,35.9361,33.8619,cooling,679
21,2520,35.3437,33.2474,cooling,677
22,2640,35.0160,32.9273,cooling,675
23,2760,34.6339,32.5114,cooling,677
24,2880,34.3013,32.2016,cooling,679
25,3000,33.9978,31.9169,cooling,678
26,3120,33.6988,31.7157,cooling,676
27,3240,33.4172,31.4145,cooling,679
28,3360,33.1997,31.1493,cooling,675
29,3480,32.9981,30.9343,cooling,679
30,3600,32.8218,30.7446,cooling,675
31,3720,32.6657,30.5392,cooling,674
32,3840,32.5161,30.4045,cooling,678
33,3960,32.4027,30.3386,cooling,680
34,4080,32.4945,30.3723,cooling,676
35,4200,32.4316,30.4466,cooling,678
36,4320,32.3052,30.4066,cooling,676
37,4440,32.1598,30.3226,cooling,680
38,4560,32.0180,30.1837,cooling,679
39,4680,31.7276,29.9189,cooling,679
40,4800,31.7363,29.8813,cooling,678
41,4920,31.6116,29.7909,cooling,677
42,5040,31.5005,29.6844,cooling,675
43,5160,31.4820,29.2740,cooling,10
44,5280,31.3880,29.2276,cooling,59
