Cooling Analysis: exp05_reg-vac_2026-06-26_run1
============================================================
Cycle          : 120 s  (awake 60 s + sleep 60 s)
Total separators : 45
Non-empty bursts : 45
Peak burst     : 8  (T_bmp = 55.67 C)
Warming bursts : 0 to 7
Cooling bursts : 8 to 44  (37 total)
Fit offset     : 8 bursts  (pre-vacuum phase, bursts 8–15 excluded)
Fit window     : bursts 16 to 32  (17 bursts)
Fit end        : burst 32  (bursts 33–44 excluded as post-vacuum)
Meaningful (excess > 0.1 C) : 35

T_amb_bmp = 32.516 C  (min observed)
T_amb_mcp = 30.405 C  (min observed)

MCP9808 : A = 7.18 C,  tau = 654 s  (+-18 s)
BMP388  : A = 6.53 C,  tau = 694 s  (+-24 s)

R = tau_mcp / tau_bmp = 654 / 694 = 0.943

 burst    t(s)     T_bmp    P(hPa)     T_mcp         phase      n
     0       0    27.570    895.39    26.378       warming    678
     1     120    27.564    895.23    26.968       warming    680
     2     240    28.369    895.28    27.077       warming    680
     3     360    29.534    895.25    27.578       warming    678
     4     480    35.753    895.28    30.491       warming    679
     5     600    42.773    894.08    35.715       warming    679
     6     720    48.375    895.23    41.264       warming    679
     7     840    52.579    895.20    46.008       warming    679
     8     960    55.670    895.21    49.761   cooling-atm    675
     9    1080    55.091    895.26    51.207   cooling-atm    676
    10    1200    52.558    894.12    50.175   cooling-atm    680
    11    1320    49.944    895.31    48.443   cooling-atm    679
    12    1440    46.623    895.27    45.355   cooling-atm   1354
    13    1560    43.595    832.94    42.273   cooling-atm    678
    14    1680    41.712    183.17    40.565   cooling-atm    677
    15    1800    40.112    136.69    38.878   cooling-atm    674
    16    1920    38.959     25.64    37.614       cooling    674
    17    2040    37.883     24.51    36.316       cooling    678
    18    2160    37.122     33.54    35.313       cooling    679
    19    2280    36.489     42.16    34.495       cooling    675
    20    2400    35.936     50.66    33.862       cooling    679
    21    2520    35.344     59.07    33.247       cooling    677
    22    2640    35.016     67.48    32.927       cooling    675
    23    2760    34.634     75.97    32.511       cooling    677
    24    2880    34.301     84.56    32.202       cooling    679
    25    3000    33.998     93.26    31.917       cooling    678
    26    3120    33.699     32.25    31.716       cooling    676
    27    3240    33.417     51.16    31.414       cooling    679
    28    3360    33.200     59.08    31.149       cooling    675
    29    3480    32.998     66.90    30.934       cooling    679
    30    3600    32.822     74.77    30.745       cooling    675
    31    3720    32.666     82.73    30.539       cooling    674
    32    3840    32.516     90.74    30.405       cooling    678
    33    3960    32.403    323.25    30.339       cooling    680
    34    4080    32.494    804.57    30.372       cooling    676
    35    4200    32.432    894.38    30.447       cooling    678
    36    4320    32.305    894.51    30.407       cooling    676
    37    4440    32.160    894.51    30.323       cooling    680
    38    4560    32.018    894.56    30.184       cooling    679
    39    4680    31.728    894.57    29.919       cooling    679
    40    4800    31.736    894.57    29.881       cooling    678
    41    4920    31.612    894.56    29.791       cooling    677
    42    5040    31.501    894.60    29.684       cooling    675
    43    5160    31.482    894.55    29.274       cooling     10
    44    5280    31.388    894.63    29.228       cooling     59
