burst,t_s,T_bmp_C,P_hPa,T_mcp_C,phase,n_samples
0,0,30.5944,894.21,28.0115,warming,677
1,120,31.3930,894.17,29.1977,warming,677
2,240,36.2045,894.22,32.5924,warming,680
3,360,41.1471,894.22,36.6539,warming,679
4,480,45.2235,894.22,40.6862,warming,679
5,600,48.2268,894.20,43.9886,warming,677
6,720,49.2063,894.31,46.1096,cooling,679
7,840,47.7812,410.02,46.0662,cooling,678
8,960,45.5418,107.27,44.4644,cooling,678
9,1080,44.0179,32.27,42.7093,cooling,679
10,1200,42.8027,49.81,41.2195,cooling,680
11,1320,41.7381,24.90,39.9636,cooling,678
12,1440,40.7711,22.96,38.8473,cooling,677
13,1560,39.9079,29.41,37.8477,cooling,676
14,1680,39.1341,29.05,36.9882,cooling,676
15,1800,38.4444,21.08,36.2024,cooling,676
16,1920,37.8279,30.18,35.5495,cooling,676
17,2040,37.2726,26.57,34.8065,cooling,678
18,2160,36.7741,22.77,34.4316,cooling,680
19,2280,36.3304,23.56,33.9281,cooling,677
20,2400,35.9347,22.51,33.4951,cooling,678
21,2520,35.5808,23.29,32.9097,cooling,679
22,2640,35.2573,19.20,32.7722,cooling,678
23,2760,34.9825,24.44,32.4618,cooling,676
24,2880,34.7280,28.36,32.1122,cooling,679
25,3000,34.3947,21.30,31.8690,cooling,677
26,3120,34.3039,26.09,31.7484,cooling,677
27,3240,34.1137,17.60,31.5694,cooling,677
28,3360,33.9651,20.59,31.3885,cooling,675
29,3480,33.8314,22.20,31.2343,cooling,679
30,3600,33.7159,37.23,31.0429,cooling,679
31,3720,33.6081,52.53,31.0098,cooling,677
32,3840,33.5329,65.92,30.9689,cooling,237
