Cooling Analysis: exp05_reg-vac_2026-06-26_run2
============================================================
Cycle          : 120 s  (awake 60 s + sleep 60 s)
Total separators : 33
Non-empty bursts : 33
Peak burst     : 6  (T_bmp = 49.21 C)
Warming bursts : 0 to 5
Cooling bursts : 6 to 32  (27 total)
Meaningful (excess > 0.1 C) : 25

T_amb_bmp = 33.533 C  (min observed)
T_amb_mcp = 30.969 C  (min observed)

MCP9808 : A = 16.76 C,  tau = 905 s  (+-27 s)
BMP388  : A = 16.01 C,  tau = 879 s  (+-15 s)

R = tau_mcp / tau_bmp = 905 / 879 = 1.029

 burst    t(s)     T_bmp    P(hPa)     T_mcp         phase      n
     0       0    30.594    894.21    28.011       warming    677
     1     120    31.393    894.17    29.198       warming    677
     2     240    36.204    894.22    32.592       warming    680
     3     360    41.147    894.22    36.654       warming    679
     4     480    45.223    894.22    40.686       warming    679
     5     600    48.227    894.20    43.989       warming    677
     6     720    49.206    894.31    46.110       cooling    679
     7     840    47.781    410.02    46.066       cooling    678
     8     960    45.542    107.27    44.464       cooling    678
     9    1080    44.018     32.27    42.709       cooling    679
    10    1200    42.803     49.81    41.220       cooling    680
    11    1320    41.738     24.90    39.964       cooling    678
    12    1440    40.771     22.96    38.847       cooling    677
    13    1560    39.908     29.41    37.848       cooling    676
    14    1680    39.134     29.05    36.988       cooling    676
    15    1800    38.444     21.08    36.202       cooling    676
    16    1920    37.828     30.18    35.549       cooling    676
    17    2040    37.273     26.57    34.806       cooling    678
    18    2160    36.774     22.77    34.432       cooling    680
    19    2280    36.330     23.56    33.928       cooling    677
    20    2400    35.935     22.51    33.495       cooling    678
    21    2520    35.581     23.29    32.910       cooling    679
    22    2640    35.257     19.20    32.772       cooling    678
    23    2760    34.983     24.44    32.462       cooling    676
    24    2880    34.728     28.36    32.112       cooling    679
    25    3000    34.395     21.30    31.869       cooling    677
    26    3120    34.304     26.09    31.748       cooling    677
    27    3240    34.114     17.60    31.569       cooling    677
    28    3360    33.965     20.59    31.388       cooling    675
    29    3480    33.831     22.20    31.234       cooling    679
    30    3600    33.716     37.23    31.043       cooling    679
    31    3720    33.608     52.53    31.010       cooling    677
    32    3840    33.533     65.92    30.969       cooling    237
